time,generation solar,generation wind onshore,forecast solar day ahead,forecast wind onshore day ahead
2015-01-01 00:00:00+01:00,49,6378,17,6436
2015-01-01 01:00:00+01:00,50,5890,16,5856
2015-01-01 02:00:00+01:00,50,5461,8,5454
2015-01-01 03:00:00+01:00,50,5238,2,5151
2015-01-01 04:00:00+01:00,42,4935,9,4861
2015-01-01 05:00:00+01:00,34,4618,4,4617
2015-01-01 06:00:00+01:00,34,4397,3,4276
2015-01-01 07:00:00+01:00,35,3992,12,3994
2015-01-01 08:00:00+01:00,54,3629,39,3602
2015-01-01 09:00:00+01:00,743,3073,784,3212
2015-01-01 10:00:00+01:00,2019,2683,1996,2617
2015-01-01 11:00:00+01:00,3197,2771,2990,2450
2015-01-01 12:00:00+01:00,3885,2906,3842,2819
2015-01-01 13:00:00+01:00,4007,2923,3812,2830
2015-01-01 14:00:00+01:00,3973,2945,3699,2851
2015-01-01 15:00:00+01:00,3818,2709,3369,2822
2015-01-01 16:00:00+01:00,3088,2552,2615,2562
2015-01-01 17:00:00+01:00,1467,2699,1387,2578
2015-01-01 18:00:00+01:00,404,2764,399,2824
2015-01-01 19:00:00+01:00,139,2913,100,2801
2015-01-01 20:00:00+01:00,100,3118,44,2999
2015-01-01 21:00:00+01:00,75,3373,26,3185
2015-01-01 22:00:00+01:00,74,3508,13,3446
2015-01-01 23:00:00+01:00,56,3527,14,3482
2015-01-02 00:00:00+01:00,54,13232,5,13329
2015-01-02 01:00:00+01:00,54,12760,35,12718
2015-01-02 02:00:00+01:00,54,12174,43,12375
2015-01-02 03:00:00+01:00,53,11358,32,11524
2015-01-02 04:00:00+01:00,53,11199,31,11310
2015-01-02 05:00:00+01:00,63,11152,26,11111
2015-01-02 06:00:00+01:00,55,11169,21,11303
2015-01-02 07:00:00+01:00,54,11205,136,11297
2015-01-02 08:00:00+01:00,116,10920,175,11048
2015-01-02 09:00:00+01:00,1039,10491,1092,10711
2015-01-02 10:00:00+01:00,2373,10156,2319,10379
2015-01-02 11:00:00+01:00,3699,10421,3451,10423
2015-01-02 12:00:00+01:00,4154,11230,4005,10989
2015-01-02 13:00:00+01:00,4074,11920,4120,11842
2015-01-02 14:00:00+01:00,3851,11819,3794,12078
2015-01-02 15:00:00+01:00,3619,11961,3479,11797
2015-01-02 16:00:00+01:00,3024,12025,2788,12061
2015-01-02 17:00:00+01:00,2053,12077,1786,12102
2015-01-02 18:00:00+01:00,769,11276,618,11451
2015-01-02 19:00:00+01:00,266,10510,170,10619
2015-01-02 20:00:00+01:00,165,10406,104,10216
2015-01-02 21:00:00+01:00,137,10445,93,10470
2015-01-02 22:00:00+01:00,137,9976,92,10112
2015-01-02 23:00:00+01:00,137,9527,81,9560
2015-01-03 00:00:00+01:00,62,9264,2,9313
2015-01-03 01:00:00+01:00,62,9135,0,9215
2015-01-03 02:00:00+01:00,61,9362,0,9196
2015-01-03 03:00:00+01:00,61,9628,2,9502
2015-01-03 04:00:00+01:00,61,9607,2,9617
2015-01-03 05:00:00+01:00,61,9666,1,9619
2015-01-03 06:00:00+01:00,61,9743,1,9733
2015-01-03 07:00:00+01:00,63,9401,37,9455
2015-01-03 08:00:00+01:00,233,8363,364,8564
2015-01-03 09:00:00+01:00,820,7924,1080,8062
2015-01-03 10:00:00+01:00,1665,7592,2015,7573
2015-01-03 11:00:00+01:00,2488,7874,2935,7689
2015-01-03 12:00:00+01:00,3218,8192,3406,8082
2015-01-03 13:00:00+01:00,3695,8718,3743,8571
2015-01-03 14:00:00+01:00,3780,9152,3756,9082
2015-01-03 15:00:00+01:00,3370,9382,3373,9168
2015-01-03 16:00:00+01:00,2692,9307,2724,9502
2015-01-03 17:00:00+01:00,1931,8892,1852,9020
2015-01-03 18:00:00+01:00,1015,8568,741,8641
2015-01-03 19:00:00+01:00,502,9005,103,8863
2015-01-03 20:00:00+01:00,355,9672,111,9619
2015-01-03 21:00:00+01:00,291,10081,157,10158
2015-01-03 22:00:00+01:00,207,10537,136,10370
2015-01-03 23:00:00+01:00,117,10953,78,10857
2015-01-04 00:00:00+01:00,692,8540,584,8564
2015-01-04 01:00:00+01:00,684,8080,640,8335
2015-01-04 02:00:00+01:00,648,7773,551,7816
2015-01-04 03:00:00+01:00,640,7601,508,7802
2015-01-04 04:00:00+01:00,563,7584,445,7570
2015-01-04 05:00:00+01:00,372,7812,288,7595
2015-01-04 06:00:00+01:00,179,7950,134,7913
2015-01-04 07:00:00+01:00,129,8228,33,8239
2015-01-04 08:00:00+01:00,357,8341,379,8275
2015-01-04 09:00:00+01:00,1634,8569,1381,8320
2015-01-04 10:00:00+01:00,3830,8433,3378,8529
2015-01-04 11:00:00+01:00,4937,8001,4727,8199
2015-01-04 12:00:00+01:00,5302,7520,5221,7698
2015-01-04 13:00:00+01:00,5590,7274,5765,7274
2015-01-04 14:00:00+01:00,5668,6878,5661,7008
2015-01-04 15:00:00+01:00,5593,7517,5540,7263
2015-01-04 16:00:00+01:00,5316,7999,5319,7886
2015-01-04 17:00:00+01:00,4907,8181,4766,8191
2015-01-04 18:00:00+01:00,4200,8260,3965,8321
2015-01-04 19:00:00+01:00,2911,8156,2680,8296
2015-01-04 20:00:00+01:00,1392,8347,1189,8158
2015-01-04 21:00:00+01:00,748,8875,750,8677
2015-01-04 22:00:00+01:00,696,8922,643,9036
2015-01-04 23:00:00+01:00,672,8735,647,8826
2015-01-05 00:00:00+01:00,691,7351,399,7321
2015-01-05 01:00:00+01:00,668,7403,588,7474
2015-01-05 02:00:00+01:00,662,7887,566,7731
2015-01-05 03:00:00+01:00,0,0,546,8233
2015-01-05 04:00:00+01:00,570,8348,386,8397
2015-01-05 05:00:00+01:00,428,8526,277,8437
2015-01-05 06:00:00+01:00,243,8518,161,8660
2015-01-05 07:00:00+01:00,155,8263,195,8285
2015-01-05 08:00:00+01:00,500,8326,685,8286
2015-01-05 09:00:00+01:00,1333,8046,1669,8122
2015-01-05 10:00:00+01:00,2482,8439,3011,8214
2015-01-05 11:00:00+01:00,3339,9131,3344,8921
2015-01-05 12:00:00+01:00,0,0,3932,9258
2015-01-05 13:00:00+01:00,0,0,4236,9156
2015-01-05 14:00:00+01:00,0,0,4215,9072
2015-01-05 15:00:00+01:00,0,0,4050,8779
2015-01-05 16:00:00+01:00,0,0,3728,8426
2015-01-05 17:00:00+01:00,0,0,3175,7946
2015-01-05 18:00:00+01:00,2944,7431,2658,7617
2015-01-05 19:00:00+01:00,1971,6570,1764,6837
2015-01-05 20:00:00+01:00,958,5549,946,5836
2015-01-05 21:00:00+01:00,605,4979,483,5054
2015-01-05 22:00:00+01:00,518,4822,324,4869
2015-01-05 23:00:00+01:00,394,4982,347,4890
2015-01-06 00:00:00+01:00,626,4052,544,4104
2015-01-06 01:00:00+01:00,624,3832,513,3889
2015-01-06 02:00:00+01:00,616,3398,466,3514
2015-01-06 03:00:00+01:00,582,3003,481,3091
2015-01-06 04:00:00+01:00,576,2569,486,2691
2015-01-06 05:00:00+01:00,499,2380,434,2377
2015-01-06 06:00:00+01:00,415,2196,399,2206
2015-01-06 07:00:00+01:00,412,1701,475,1827
2015-01-06 08:00:00+01:00,1168,1102,1408,1208
2015-01-06 09:00:00+01:00,3018,682,3077,759
2015-01-06 10:00:00+01:00,4129,470,4070,506
2015-01-06 11:00:00+01:00,4642,472,4629,483
2015-01-06 12:00:00+01:00,4976,683,4919,678
2015-01-06 13:00:00+01:00,5044,1041,5014,1130
2015-01-06 14:00:00+01:00,4887,1652,4875,1479
2015-01-06 15:00:00+01:00,4641,2761,4686,2347
2015-01-06 16:00:00+01:00,4279,3277,4404,3318
2015-01-06 17:00:00+01:00,3824,3281,3907,3236
2015-01-06 18:00:00+01:00,3132,3781,3456,3699
2015-01-06 19:00:00+01:00,2383,3943,2719,3929
2015-01-06 20:00:00+01:00,1586,4028,1615,4059
2015-01-06 21:00:00+01:00,891,3661,924,3823
2015-01-06 22:00:00+01:00,696,3485,632,3558
2015-01-06 23:00:00+01:00,669,3276,495,3276
2015-01-07 00:00:00+01:00,1280,6210,597,6140
2015-01-07 01:00:00+01:00,1253,5993,514,6205
2015-01-07 02:00:00+01:00,1231,5529,542,5735
2015-01-07 03:00:00+01:00,1223,5127,551,5232
2015-01-07 04:00:00+01:00,1189,4940,550,4959
2015-01-07 05:00:00+01:00,1142,4735,457,4784
2015-01-07 06:00:00+01:00,1043,4266,592,4452
2015-01-07 07:00:00+01:00,979,3849,871,3912
2015-01-07 08:00:00+01:00,1336,3369,1821,3585
2015-01-07 09:00:00+01:00,2121,2959,3169,3028
2015-01-07 10:00:00+01:00,2841,3226,4356,3098
2015-01-07 11:00:00+01:00,3556,4273,4651,3964
2015-01-07 12:00:00+01:00,3756,5914,4654,5486
2015-01-07 13:00:00+01:00,3639,7320,4593,7010
2015-01-07 14:00:00+01:00,4133,7837,4414,8090
2015-01-07 15:00:00+01:00,4896,7890,4049,7971
2015-01-07 16:00:00+01:00,4647,7996,3887,8004
2015-01-07 17:00:00+01:00,4184,7955,4055,7962
2015-01-07 18:00:00+01:00,3631,7582,3523,7779
2015-01-07 19:00:00+01:00,2772,6821,2670,7115
2015-01-07 20:00:00+01:00,2013,6198,1612,6110
2015-01-07 21:00:00+01:00,1193,6139,743,5883
2015-01-07 22:00:00+01:00,636,6398,462,6276
2015-01-07 23:00:00+01:00,573,6262,480,6324
2015-01-08 00:00:00+01:00,433,5908,443,5755
2015-01-08 01:00:00+01:00,391,5509,363,5596
2015-01-08 02:00:00+01:00,352,5204,295,5218
2015-01-08 03:00:00+01:00,328,4891,276,4923
2015-01-08 04:00:00+01:00,327,4738,244,4706
2015-01-08 05:00:00+01:00,320,4868,212,4779
2015-01-08 06:00:00+01:00,265,4809,235,4867
2015-01-08 07:00:00+01:00,223,4849,420,4812
2015-01-08 08:00:00+01:00,708,4285,1166,4532
2015-01-08 09:00:00+01:00,2225,3889,2373,3916
2015-01-08 10:00:00+01:00,3943,3330,3681,3551
2015-01-08 11:00:00+01:00,4514,2911,4451,2983
2015-01-08 12:00:00+01:00,4926,2376,4940,2486
2015-01-08 13:00:00+01:00,5067,1917,5172,1978
2015-01-08 14:00:00+01:00,5092,1741,5163,1759
2015-01-08 15:00:00+01:00,5019,1680,4994,1729
2015-01-08 16:00:00+01:00,4803,1774,4740,1795
2015-01-08 17:00:00+01:00,4507,2001,4391,1993
2015-01-08 18:00:00+01:00,4010,2574,3790,2586
2015-01-08 19:00:00+01:00,3321,3022,2928,3102
2015-01-08 20:00:00+01:00,2089,3312,1860,3344
2015-01-08 21:00:00+01:00,957,3478,997,3476
2015-01-08 22:00:00+01:00,721,3726,689,3724
2015-01-08 23:00:00+01:00,691,3968,581,3880
2015-01-09 00:00:00+01:00,39,3552,72,3653
2015-01-09 01:00:00+01:00,38,3334,72,3482
2015-01-09 02:00:00+01:00,37,3486,73,3466
2015-01-09 03:00:00+01:00,37,3492,42,3526
2015-01-09 04:00:00+01:00,36,3541,29,3602
2015-01-09 05:00:00+01:00,41,3603,41,3582
2015-01-09 06:00:00+01:00,45,3952,34,3911
2015-01-09 07:00:00+01:00,58,4209,65,4167
2015-01-09 08:00:00+01:00,317,4171,386,4273
2015-01-09 09:00:00+01:00,1107,3873,1217,3856
2015-01-09 10:00:00+01:00,2133,3865,2336,3894
2015-01-09 11:00:00+01:00,3193,3802,3164,3821
2015-01-09 12:00:00+01:00,3932,3676,3407,3705
2015-01-09 13:00:00+01:00,4156,3620,3874,3614
2015-01-09 14:00:00+01:00,4285,3774,4218,3740
2015-01-09 15:00:00+01:00,4135,4045,4084,3949
2015-01-09 16:00:00+01:00,3883,4345,3846,4323
2015-01-09 17:00:00+01:00,3513,4914,3394,4708
2015-01-09 18:00:00+01:00,3253,5564,2711,5369
2015-01-09 19:00:00+01:00,2403,5966,1832,5950
2015-01-09 20:00:00+01:00,1060,5879,931,5984
2015-01-09 21:00:00+01:00,530,5861,440,5860
2015-01-09 22:00:00+01:00,444,5431,424,5616
2015-01-09 23:00:00+01:00,386,5147,417,5120
2015-01-10 00:00:00+01:00,384,996,268,1058
2015-01-10 01:00:00+01:00,167,897,196,905
2015-01-10 02:00:00+01:00,102,934,202,890
2015-01-10 03:00:00+01:00,103,933,61,939
2015-01-10 04:00:00+01:00,102,898,45,910
2015-01-10 05:00:00+01:00,102,826,35,872
2015-01-10 06:00:00+01:00,102,890,27,869
2015-01-10 07:00:00+01:00,103,998,31,962
2015-01-10 08:00:00+01:00,233,1183,237,1090
2015-01-10 09:00:00+01:00,1209,1214,1093,1218
2015-01-10 10:00:00+01:00,2927,852,2703,995
2015-01-10 11:00:00+01:00,4515,828,4196,783
2015-01-10 12:00:00+01:00,5044,1346,4699,1454
2015-01-10 13:00:00+01:00,5107,2139,5068,2133
2015-01-10 14:00:00+01:00,4900,2602,4903,2881
2015-01-10 15:00:00+01:00,4463,3146,4585,3109
2015-01-10 16:00:00+01:00,4215,3812,3645,3681
2015-01-10 17:00:00+01:00,3756,4411,3526,4175
2015-01-10 18:00:00+01:00,2857,4682,2622,4614
2015-01-10 19:00:00+01:00,1303,4400,1492,4510
2015-01-10 20:00:00+01:00,633,4443,723,4211
2015-01-10 21:00:00+01:00,510,4419,496,4406
2015-01-10 22:00:00+01:00,497,3976,453,4116
2015-01-10 23:00:00+01:00,466,3299,461,3281
2015-01-11 00:00:00+01:00,26,4256,23,4187
2015-01-11 01:00:00+01:00,25,4802,3,4828
2015-01-11 02:00:00+01:00,25,5261,14,5191
2015-01-11 03:00:00+01:00,25,5647,17,5771
2015-01-11 04:00:00+01:00,25,5907,32,5999
2015-01-11 05:00:00+01:00,25,6487,27,6393
2015-01-11 06:00:00+01:00,23,7036,10,7013
2015-01-11 07:00:00+01:00,35,7397,35,7469
2015-01-11 08:00:00+01:00,394,8140,348,8003
2015-01-11 09:00:00+01:00,1228,9148,1019,8890
2015-01-11 10:00:00+01:00,2045,9866,2140,10121
2015-01-11 11:00:00+01:00,2423,10448,2592,10477
2015-01-11 12:00:00+01:00,2437,10819,2741,10956
2015-01-11 13:00:00+01:00,2022,11383,2672,11131
2015-01-11 14:00:00+01:00,1630,11916,2300,11719
2015-01-11 15:00:00+01:00,1334,12171,1672,12170
2015-01-11 16:00:00+01:00,860,12258,880,12143
2015-01-11 17:00:00+01:00,254,12239,354,12239
2015-01-11 18:00:00+01:00,57,12399,42,12185
2015-01-11 19:00:00+01:00,54,12793,10,12613
2015-01-11 20:00:00+01:00,55,12806,0,12869
2015-01-11 21:00:00+01:00,34,12675,5,12678
2015-01-11 22:00:00+01:00,31,12677,7,12606
2015-01-11 23:00:00+01:00,31,12580,3,12571
2015-01-12 00:00:00+01:00,44,1661,21,1683
2015-01-12 01:00:00+01:00,42,1436,18,1488
2015-01-12 02:00:00+01:00,42,1350,8,1316
2015-01-12 03:00:00+01:00,42,1386,15,1361
2015-01-12 04:00:00+01:00,42,1349,11,1345
2015-01-12 05:00:00+01:00,42,1286,11,1272
2015-01-12 06:00:00+01:00,42,1263,13,1265
2015-01-12 07:00:00+01:00,45,1266,31,1283
2015-01-12 08:00:00+01:00,157,1237,188,1251
2015-01-12 09:00:00+01:00,1104,1205,1051,1217
2015-01-12 10:00:00+01:00,2190,1196,2116,1164
2015-01-12 11:00:00+01:00,3012,1146,2841,1079
2015-01-12 12:00:00+01:00,3262,1170,3487,1025
2015-01-12 13:00:00+01:00,3208,1210,3466,1233
2015-01-12 14:00:00+01:00,3027,1034,3264,1101
2015-01-12 15:00:00+01:00,2630,924,2491,961
2015-01-12 16:00:00+01:00,1615,905,1548,885
2015-01-12 17:00:00+01:00,422,1091,817,994
2015-01-12 18:00:00+01:00,86,1110,333,1212
2015-01-12 19:00:00+01:00,63,1051,53,1088
2015-01-12 20:00:00+01:00,56,1175,0,1135
2015-01-12 21:00:00+01:00,44,1430,0,1385
2015-01-12 22:00:00+01:00,42,1631,21,1642
2015-01-12 23:00:00+01:00,42,1729,8,1746
2015-01-13 00:00:00+01:00,32,8027,4,8097
2015-01-13 01:00:00+01:00,32,7668,0,7806
2015-01-13 02:00:00+01:00,32,7337,0,7376
2015-01-13 03:00:00+01:00,32,6970,1,7098
2015-01-13 04:00:00+01:00,32,6966,3,6814
2015-01-13 05:00:00+01:00,32,6890,1,6962
2015-01-13 06:00:00+01:00,32,6853,1,6887
2015-01-13 07:00:00+01:00,37,6849,9,6901
2015-01-13 08:00:00+01:00,56,6964,61,6887
2015-01-13 09:00:00+01:00,516,6922,650,7022
2015-01-13 10:00:00+01:00,1475,6320,1695,6650
2015-01-13 11:00:00+01:00,2284,5670,2715,5847
2015-01-13 12:00:00+01:00,2857,5901,3317,5519
2015-01-13 13:00:00+01:00,3217,6300,3422,6002
2015-01-13 14:00:00+01:00,3253,6635,3350,6334
2015-01-13 15:00:00+01:00,3084,6481,3012,6593
2015-01-13 16:00:00+01:00,2475,6184,2280,6291
2015-01-13 17:00:00+01:00,1187,5758,1292,5959
2015-01-13 18:00:00+01:00,303,5607,437,5636
2015-01-13 19:00:00+01:00,98,5656,4,5604
2015-01-13 20:00:00+01:00,80,5789,8,5820
2015-01-13 21:00:00+01:00,44,5689,16,5901
2015-01-13 22:00:00+01:00,44,5676,11,5718
2015-01-13 23:00:00+01:00,35,5925,6,5770
2015-01-14 00:00:00+01:00,28,6174,1,5993
2015-01-14 01:00:00+01:00,28,6637,3,6256
2015-01-14 02:00:00+01:00,27,6808,1,6577
2015-01-14 03:00:00+01:00,27,6744,1,6625
2015-01-14 04:00:00+01:00,27,6780,0,6428
2015-01-14 05:00:00+01:00,27,6224,0,6395
2015-01-14 06:00:00+01:00,27,5424,0,5557
2015-01-14 07:00:00+01:00,32,4958,2,4933
2015-01-14 08:00:00+01:00,39,4773,58,4636
2015-01-14 09:00:00+01:00,411,4645,497,4658
2015-01-14 10:00:00+01:00,1258,4425,1345,4549
2015-01-14 11:00:00+01:00,1960,4302,2281,4313
2015-01-14 12:00:00+01:00,2480,4677,2895,4447
2015-01-14 13:00:00+01:00,2688,5121,3159,5041
2015-01-14 14:00:00+01:00,2683,5330,3111,5388
2015-01-14 15:00:00+01:00,2420,5528,2643,5530
2015-01-14 16:00:00+01:00,2003,5518,1871,5641
2015-01-14 17:00:00+01:00,905,5440,830,5604
2015-01-14 18:00:00+01:00,213,5806,285,5888
2015-01-14 19:00:00+01:00,112,6321,31,6335
2015-01-14 20:00:00+01:00,79,6901,11,6924
2015-01-14 21:00:00+01:00,32,7571,22,7523
2015-01-14 22:00:00+01:00,31,7913,15,8025
2015-01-14 23:00:00+01:00,31,8204,0,8085
2015-01-15 00:00:00+01:00,31,8374,4,8424
2015-01-15 01:00:00+01:00,31,8407,0,8463
2015-01-15 02:00:00+01:00,31,8338,0,8402
2015-01-15 03:00:00+01:00,31,8323,0,8319
2015-01-15 04:00:00+01:00,31,8080,1,8337
2015-01-15 05:00:00+01:00,31,7901,1,8093
2015-01-15 06:00:00+01:00,31,8032,1,7992
2015-01-15 07:00:00+01:00,33,8288,21,8186
2015-01-15 08:00:00+01:00,50,8799,73,8689
2015-01-15 09:00:00+01:00,562,9263,567,9166
2015-01-15 10:00:00+01:00,1336,9169,1397,9423
2015-01-15 11:00:00+01:00,1984,9300,2191,9164
2015-01-15 12:00:00+01:00,2287,9645,2556,9595
2015-01-15 13:00:00+01:00,2274,9606,2640,9905
2015-01-15 14:00:00+01:00,2062,9890,2457,9694
2015-01-15 15:00:00+01:00,1593,10212,1902,10147
2015-01-15 16:00:00+01:00,939,10274,1181,10370
2015-01-15 17:00:00+01:00,287,10112,454,10246
2015-01-15 18:00:00+01:00,67,10081,61,10109
2015-01-15 19:00:00+01:00,62,10678,11,10483
2015-01-15 20:00:00+01:00,61,11114,11,11013
2015-01-15 21:00:00+01:00,59,11935,3,11527
2015-01-15 22:00:00+01:00,59,12091,3,12069
2015-01-15 23:00:00+01:00,59,11295,3,11549
2015-01-16 00:00:00+01:00,59,10525,6,10850
2015-01-16 01:00:00+01:00,59,9822,0,9975
2015-01-16 02:00:00+01:00,59,9202,0,9267
2015-01-16 03:00:00+01:00,59,8451,1,8578
2015-01-16 04:00:00+01:00,59,8754,4,8099
2015-01-16 05:00:00+01:00,59,8971,4,8683
2015-01-16 06:00:00+01:00,59,8614,2,8602
2015-01-16 07:00:00+01:00,59,8693,12,8277
2015-01-16 08:00:00+01:00,40,9101,47,8769
2015-01-16 09:00:00+01:00,352,9430,416,9186
2015-01-16 10:00:00+01:00,1229,9482,1032,9546
2015-01-16 11:00:00+01:00,1855,10147,1628,9912
2015-01-16 12:00:00+01:00,2270,11129,2276,10797
2015-01-16 13:00:00+01:00,2466,12417,2613,11646
2015-01-16 14:00:00+01:00,2388,13423,2538,12710
2015-01-16 15:00:00+01:00,2126,13229,2272,13327
2015-01-16 16:00:00+01:00,1652,12153,1691,12385
2015-01-16 17:00:00+01:00,773,11248,765,11017
2015-01-16 18:00:00+01:00,222,9878,187,10038
2015-01-16 19:00:00+01:00,99,9563,33,9097
2015-01-16 20:00:00+01:00,88,9971,18,9500
2015-01-16 21:00:00+01:00,75,9614,37,9839
2015-01-16 22:00:00+01:00,75,9612,36,9487
2015-01-16 23:00:00+01:00,75,9578,32,9505
2015-01-17 00:00:00+01:00,75,9550,34,9235
2015-01-17 01:00:00+01:00,74,9273,35,9170
2015-01-17 02:00:00+01:00,57,8637,17,8834
2015-01-17 03:00:00+01:00,38,8014,2,8180
2015-01-17 04:00:00+01:00,38,7669,2,7714
2015-01-17 05:00:00+01:00,38,7110,0,7366
2015-01-17 06:00:00+01:00,37,6581,0,6668
2015-01-17 07:00:00+01:00,37,6513,5,6236
2015-01-17 08:00:00+01:00,62,6259,104,6310
2015-01-17 09:00:00+01:00,771,5823,713,5935
2015-01-17 10:00:00+01:00,1914,5356,1815,5592
2015-01-17 11:00:00+01:00,2804,5293,2805,5285
2015-01-17 12:00:00+01:00,3408,5581,3457,5401
2015-01-17 13:00:00+01:00,3584,6038,3558,5774
2015-01-17 14:00:00+01:00,3496,6474,3312,6184
2015-01-17 15:00:00+01:00,3203,6520,2822,6420
2015-01-17 16:00:00+01:00,2515,6174,2016,6318
2015-01-17 17:00:00+01:00,1121,5629,801,5924
2015-01-17 18:00:00+01:00,233,5449,165,5367
2015-01-17 19:00:00+01:00,89,5808,62,5576
2015-01-17 20:00:00+01:00,79,6118,28,6135
2015-01-17 21:00:00+01:00,71,6198,26,6385
2015-01-17 22:00:00+01:00,70,6120,26,6305
2015-01-17 23:00:00+01:00,70,6361,26,6331
2015-01-18 00:00:00+01:00,70,6439,24,6624
2015-01-18 01:00:00+01:00,61,6574,11,6510
2015-01-18 02:00:00+01:00,54,6716,6,6574
2015-01-18 03:00:00+01:00,54,6682,8,6723
2015-01-18 04:00:00+01:00,54,6429,6,6671
2015-01-18 05:00:00+01:00,54,6512,6,6417
2015-01-18 06:00:00+01:00,54,6441,4,6512
2015-01-18 07:00:00+01:00,55,6324,7,6396
2015-01-18 08:00:00+01:00,74,6024,60,6140
2015-01-18 09:00:00+01:00,360,5478,280,5765
2015-01-18 10:00:00+01:00,717,4966,641,5287
2015-01-18 11:00:00+01:00,817,4931,927,5032
2015-01-18 12:00:00+01:00,827,4996,1070,5018
2015-01-18 13:00:00+01:00,824,4839,880,5049
2015-01-18 14:00:00+01:00,669,4725,703,5045
2015-01-18 15:00:00+01:00,481,5252,552,5190
2015-01-18 16:00:00+01:00,262,6269,346,5902
2015-01-18 17:00:00+01:00,103,6914,135,6843
2015-01-18 18:00:00+01:00,69,7114,24,7164
2015-01-18 19:00:00+01:00,69,6679,9,7052
2015-01-18 20:00:00+01:00,67,6432,10,6376
2015-01-18 21:00:00+01:00,65,6030,10,6241
2015-01-18 22:00:00+01:00,65,5268,9,5771
2015-01-18 23:00:00+01:00,65,4804,11,5046
2015-01-19 00:00:00+01:00,65,4673,1,4746
2015-01-19 01:00:00+01:00,65,4767,11,4975
2015-01-19 02:00:00+01:00,65,4783,11,5000
2015-01-19 03:00:00+01:00,65,5071,12,5208
2015-01-19 04:00:00+01:00,65,6077,13,6038
2015-01-19 05:00:00+01:00,66,7103,16,7176
2015-01-19 06:00:00+01:00,74,7802,14,8043
2015-01-19 07:00:00+01:00,66,8138,13,8336
2015-01-19 08:00:00+01:00,68,8654,53,8477
2015-01-19 09:00:00+01:00,317,9222,371,9210
2015-01-19 10:00:00+01:00,962,8841,1002,9458
2015-01-19 11:00:00+01:00,1714,8650,1618,9030
2015-01-19 12:00:00+01:00,2127,8548,2063,8825
2015-01-19 13:00:00+01:00,2268,8354,2304,8420
2015-01-19 14:00:00+01:00,2356,8496,2271,8284
2015-01-19 15:00:00+01:00,2288,8104,2182,8234
2015-01-19 16:00:00+01:00,2003,7708,1702,7663
2015-01-19 17:00:00+01:00,1307,7194,945,7398
2015-01-19 18:00:00+01:00,414,6660,245,6850
2015-01-19 19:00:00+01:00,0,0,91,6434
2015-01-19 20:00:00+01:00,0,0,28,6907
2015-01-19 21:00:00+01:00,40,6890,10,6815
2015-01-19 22:00:00+01:00,38,6577,4,6695
2015-01-19 23:00:00+01:00,38,6033,3,6338
2015-01-20 00:00:00+01:00,38,5733,4,5784
2015-01-20 01:00:00+01:00,38,5908,0,5787
2015-01-20 02:00:00+01:00,38,6121,0,6123
2015-01-20 03:00:00+01:00,38,6292,0,6331
2015-01-20 04:00:00+01:00,38,6027,0,6117
2015-01-20 05:00:00+01:00,40,5097,4,5694
2015-01-20 06:00:00+01:00,46,4566,3,4853
2015-01-20 07:00:00+01:00,41,4345,29,4429
2015-01-20 08:00:00+01:00,60,4310,78,4253
2015-01-20 09:00:00+01:00,435,3953,473,4110
2015-01-20 10:00:00+01:00,1034,3405,1026,3646
2015-01-20 11:00:00+01:00,1552,3263,1497,3298
2015-01-20 12:00:00+01:00,1806,3536,1754,3251
2015-01-20 13:00:00+01:00,1740,4080,1761,3649
2015-01-20 14:00:00+01:00,1466,4341,1587,4145
2015-01-20 15:00:00+01:00,1204,4083,1365,4305
2015-01-20 16:00:00+01:00,836,3768,978,3745
2015-01-20 17:00:00+01:00,295,3554,462,3536
2015-01-20 18:00:00+01:00,92,3027,103,3314
2015-01-20 19:00:00+01:00,87,3069,4,2944
2015-01-20 20:00:00+01:00,86,3331,0,3180
2015-01-20 21:00:00+01:00,82,3558,1,3594
2015-01-20 22:00:00+01:00,81,3784,0,3777
2015-01-20 23:00:00+01:00,81,4099,0,4033
2015-01-21 00:00:00+01:00,81,4608,0,4491
2015-01-21 01:00:00+01:00,81,5339,3,5065
2015-01-21 02:00:00+01:00,81,5825,4,5872
2015-01-21 03:00:00+01:00,81,6213,1,6228
2015-01-21 04:00:00+01:00,81,6903,0,6742
2015-01-21 05:00:00+01:00,81,7160,0,7505
2015-01-21 06:00:00+01:00,81,7645,1,7560
2015-01-21 07:00:00+01:00,82,7866,36,8092
2015-01-21 08:00:00+01:00,100,7892,99,8087
2015-01-21 09:00:00+01:00,616,7767,636,8015
2015-01-21 10:00:00+01:00,1488,7352,1476,7813
2015-01-21 11:00:00+01:00,1969,7725,2252,7494
2015-01-21 12:00:00+01:00,2183,8072,2751,8180
2015-01-21 13:00:00+01:00,2170,8784,2747,8362
2015-01-21 14:00:00+01:00,2057,9538,2310,9268
2015-01-21 15:00:00+01:00,1513,9599,1861,9793
2015-01-21 16:00:00+01:00,931,9901,1349,9590
2015-01-21 17:00:00+01:00,367,9668,657,9728
2015-01-21 18:00:00+01:00,106,9574,193,9320
2015-01-21 19:00:00+01:00,102,9635,7,9625
2015-01-21 20:00:00+01:00,94,9657,8,9653
2015-01-21 21:00:00+01:00,78,9997,8,9749
2015-01-21 22:00:00+01:00,70,9887,5,10030
2015-01-21 23:00:00+01:00,70,9995,2,9689
2015-01-22 00:00:00+01:00,70,10246,1,10046
