time,load forecast
2015-09-24,655554.00
2015-09-25,681105.00
2015-09-26,607653.00
2015-09-27,550224.00
2015-09-28,663792.00
2015-09-29,674330.00
2015-09-30,674314.00
2015-10-01,680923.00
2015-10-02,826211.00
2015-10-03,705899.00
2015-10-04,677794.00
2015-10-05,565717.00
2015-10-06,704458.00
2015-10-07,794219.00
2015-10-08,692722.00
2015-10-09,686530.00
2015-10-10,586880.00
2015-10-11,670749.00
2015-10-12,741519.00
2015-10-13,669379.00
2015-10-14,664048.00
2015-10-15,668958.00
2015-10-16,661039.00
2015-10-17,591981.00
2015-10-18,548476.00
2015-10-19,663313.00
2015-10-20,676736.00
2015-10-21,676145.00
2015-10-22,676664.00
2015-10-23,666480.00
2015-10-24,595045.00
2015-10-25,570313.00
2015-10-26,665419.00
2015-10-27,673438.00
2015-10-28,675465.00
2015-10-29,675131.00
2015-10-30,672227.00
2015-10-31,599008.00
2015-11-01,641840.00
2015-11-02,811543.00
2015-11-03,700760.00
2015-11-04,599270.00
2015-11-05,676828.00
2015-11-06,702617.00
2015-11-07,709883.00
2015-11-08,718671.00
2015-11-09,658723.00
2015-11-10,542088.00
2015-11-11,675441.00
2015-11-12,737939.00
2015-11-13,679479.00
2015-11-14,602352.00
2015-11-15,554861.00
2015-11-16,674714.00
2015-11-17,686880.00
2015-11-18,695109.00
2015-11-19,695256.00
2015-11-20,688316.00
2015-11-21,623973.00
2015-11-22,594150.00
2015-11-23,726568.00
2015-11-24,745379.00
2015-11-25,746569.00
2015-11-26,734635.00
2015-11-27,727311.00
2015-11-28,647524.00
2015-11-29,603628.00
2015-11-30,729652.00
2015-12-01,756754.00
2015-12-02,806724.00
2015-12-03,695105.00
2015-12-04,558103.00
2015-12-05,692341.00
2015-12-06,685527.00
2015-12-07,642099.00
2015-12-08,720285.00
2015-12-09,603637.00
2015-12-10,544138.00
2015-12-11,675610.00
2015-12-12,667376.00
2015-12-13,613735.00
2015-12-14,732767.00
2015-12-15,746842.00
2015-12-16,738884.00
2015-12-17,731873.00
2015-12-18,728578.00
2015-12-19,647163.00
2015-12-20,606280.00
2015-12-21,733090.00
2015-12-22,729406.00
2015-12-23,716350.00
2015-12-24,618989.00
2015-12-25,526627.00
2015-12-26,570566.00
2015-12-27,564096.00
2015-12-28,676763.00
2015-12-29,680395.00
2015-12-30,653755.00
2015-12-31,600956.00
2016-01-01,520488.00
2016-01-02,726690.00
2016-01-03,756755.00
2016-01-04,706105.00
2016-01-05,542346.00
2016-01-06,670192.00
2016-01-07,738238.00
2016-01-08,724133.00
2016-01-09,755643.00
2016-01-10,611918.00
2016-01-11,549093.00
2016-01-12,746133.00
2016-01-13,754958.00
2016-01-14,755537.00
2016-01-15,765022.00
2016-01-16,694828.00
2016-01-17,651568.00
2016-01-18,764901.00
2016-01-19,787686.00
2016-01-20,780053.00
2016-01-21,771806.00
2016-01-22,751445.00
2016-01-23,677018.00
2016-01-24,616014.00
2016-01-25,725034.00
2016-01-26,744151.00
2016-01-27,749403.00
2016-01-28,753023.00
2016-01-29,748753.00
2016-01-30,666201.00
2016-01-31,617434.00
2016-02-01,585461.00
2016-02-02,737378.00
2016-02-03,740186.00
2016-02-04,631120.00
2016-02-05,600324.00
2016-02-06,675806.00
2016-02-07,663738.00
2016-02-08,744291.00
2016-02-09,761237.00
2016-02-10,560374.00
2016-02-11,672179.00
2016-02-12,742612.00
2016-02-13,660271.00
2016-02-14,622727.00
2016-02-15,750328.00
2016-02-16,787121.00
2016-02-17,787650.00
2016-02-18,785287.00
2016-02-19,781418.00
2016-02-20,690232.00
2016-02-21,628487.00
2016-02-22,740636.00
2016-02-23,738943.00
2016-02-24,737772.00
2016-02-25,747608.00
2016-02-26,745427.00
2016-02-27,693820.00
2016-02-28,644177.00
2016-02-29,736005.00
2016-03-01,581904.00
2016-03-02,738060.00
2016-03-03,740128.00
2016-03-04,585920.00
2016-03-05,664081.00
2016-03-06,675266.00
2016-03-07,610014.00
2016-03-08,754185.00
2016-03-09,690600.00
2016-03-10,678639.00
2016-03-11,672807.00
2016-03-12,672035.00
2016-03-13,621754.00
2016-03-14,739615.00
2016-03-15,749938.00
2016-03-16,754504.00
2016-03-17,743406.00
2016-03-18,747644.00
2016-03-19,659768.00
2016-03-20,607592.00
2016-03-21,718510.00
2016-03-22,719216.00
2016-03-23,700939.00
2016-03-24,596618.00
2016-03-25,563697.00
2016-03-26,590803.00
2016-03-27,544870.00
2016-03-28,628406.00
2016-03-29,690004.00
2016-03-30,696109.00
2016-03-31,698735.00
2016-04-01,688425.00
2016-04-02,747334.00
2016-04-03,735092.00
2016-04-04,700178.00
2016-04-05,667837.00
2016-04-06,607660.00
2016-04-07,736353.00
2016-04-08,753713.00
2016-04-09,650704.00
2016-04-10,695317.00
2016-04-11,675369.00
2016-04-12,620278.00
2016-04-13,702189.00
2016-04-14,697998.00
2016-04-15,691973.00
2016-04-16,618671.00
2016-04-17,576080.00
2016-04-18,682190.00
2016-04-19,693145.00
2016-04-20,698441.00
2016-04-21,700130.00
2016-04-22,687501.00
2016-04-23,611422.00
2016-04-24,567354.00
2016-04-25,666894.00
2016-04-26,678606.00
2016-04-27,677748.00
2016-04-28,679370.00
2016-04-29,676824.00
2016-04-30,604793.00
2016-05-01,664581.00
2016-05-02,740931.00
2016-05-03,673536.00
2016-05-04,722194.00
2016-05-05,664311.00
2016-05-06,562779.00
2016-05-07,744888.00
2016-05-08,733621.00
2016-05-09,807498.00
2016-05-10,691240.00
2016-05-11,613114.00
2016-05-12,689589.00
2016-05-13,672736.00
2016-05-14,601312.00
2016-05-15,550806.00
2016-05-16,615430.00
2016-05-17,649350.00
2016-05-18,662884.00
2016-05-19,669683.00
2016-05-20,664426.00
2016-05-21,602679.00
2016-05-22,551303.00
2016-05-23,654669.00
2016-05-24,667204.00
2016-05-25,666022.00
2016-05-26,659701.00
2016-05-27,668024.00
2016-05-28,604014.00
2016-05-29,554014.00
2016-05-30,651002.00
2016-05-31,664697.00
2016-06-01,572247.00
2016-06-02,664421.00
2016-06-03,632868.00
2016-06-04,714122.00
2016-06-05,659676.00
2016-06-06,674036.00
2016-06-07,755491.00
2016-06-08,657803.00
2016-06-09,811422.00
2016-06-10,687880.00
2016-06-11,580283.00
2016-06-12,641516.00
2016-06-13,697871.00
2016-06-14,721396.00
2016-06-15,709205.00
2016-06-16,689353.00
2016-06-17,663997.00
2016-06-18,602060.00
2016-06-19,561572.00
2016-06-20,679547.00
2016-06-21,705547.00
2016-06-22,719854.00
2016-06-23,715296.00
2016-06-24,671970.00
2016-06-25,625505.00
2016-06-26,588589.00
2016-06-27,699345.00
2016-06-28,721577.00
2016-06-29,732574.00
2016-06-30,737129.00
2016-07-01,701180.00
2016-07-02,620415.00
2016-07-03,751374.00
2016-07-04,707333.00
2016-07-05,594986.00
2016-07-06,691905.00
2016-07-07,755602.00
2016-07-08,605904.00
2016-07-09,818880.00
2016-07-10,674345.00
2016-07-11,706225.00
2016-07-12,694416.00
2016-07-13,754481.00
2016-07-14,737006.00
2016-07-15,729243.00
2016-07-16,658444.00
2016-07-17,610757.00
2016-07-18,742097.00
2016-07-19,768532.00
2016-07-20,761905.00
2016-07-21,762856.00
2016-07-22,754728.00
2016-07-23,664752.00
2016-07-24,604187.00
2016-07-25,698754.00
2016-07-26,754899.00
2016-07-27,775714.00
2016-07-28,773588.00
2016-07-29,773542.00
2016-07-30,697628.00
2016-07-31,626790.00
2016-08-01,717275.00
2016-08-02,721467.00
2016-08-03,774672.00
2016-08-04,706804.00
2016-08-05,553258.00
2016-08-06,718982.00
2016-08-07,742917.00
2016-08-08,706627.00
2016-08-09,771896.00
2016-08-10,612327.00
2016-08-11,718294.00
2016-08-12,626640.00
2016-08-13,640136.00
2016-08-14,590054.00
2016-08-15,579952.00
2016-08-16,693017.00
2016-08-17,692856.00
2016-08-18,700831.00
2016-08-19,702240.00
2016-08-20,649389.00
2016-08-21,600171.00
2016-08-22,708273.00
2016-08-23,751060.00
2016-08-24,737083.00
2016-08-25,737926.00
2016-08-26,726828.00
2016-08-27,666443.00
2016-08-28,616178.00
2016-08-29,734922.00
2016-08-30,743770.00
2016-08-31,746642.00
2016-09-01,650119.00
2016-09-02,734809.00
2016-09-03,769942.00
2016-09-04,633179.00
2016-09-05,660594.00
2016-09-06,725052.00
2016-09-07,685388.00
2016-09-08,713585.00
2016-09-09,757433.00
2016-09-10,557601.00
2016-09-11,707699.00
2016-09-12,678673.00
2016-09-13,746530.00
2016-09-14,710473.00
2016-09-15,687316.00
2016-09-16,690507.00
2016-09-17,605540.00
2016-09-18,560214.00
2016-09-19,675734.00
2016-09-20,689129.00
2016-09-21,690424.00
2016-09-22,695576.00
2016-09-23,693511.00
2016-09-24,614639.00
2016-09-25,560796.00
2016-09-26,672780.00
2016-09-27,693770.00
2016-09-28,697819.00
2016-09-29,698430.00
2016-09-30,684076.00
2016-10-01,603198.00
2016-10-02,742497.00
2016-10-03,770400.00
2016-10-04,583142.00
2016-10-05,676251.00
2016-10-06,712265.00
2016-10-07,642073.00
2016-10-08,697472.00
2016-10-09,670997.00
2016-10-10,666155.00
2016-10-11,726102.00
2016-10-12,647992.00
2016-10-13,659782.00
2016-10-14,673701.00
2016-10-15,591296.00
2016-10-16,551990.00
2016-10-17,662659.00
2016-10-18,684140.00
2016-10-19,685713.00
2016-10-20,678383.00
2016-10-21,674741.00
2016-10-22,602885.00
2016-10-23,564169.00
2016-10-24,677146.00
2016-10-25,689253.00
2016-10-26,689526.00
2016-10-27,681327.00
2016-10-28,676448.00
2016-10-29,604366.00
2016-10-30,580151.00
2016-10-31,620923.00
2016-11-01,725405.00
2016-11-02,737702.00
2016-11-03,765324.00
2016-11-04,696539.00
2016-11-05,676318.00
2016-11-06,628958.00
2016-11-07,764745.00
2016-11-08,674372.00
2016-11-09,623003.00
2016-11-10,670576.00
2016-11-11,713250.00
2016-11-12,609783.00
2016-11-13,580705.00
2016-11-14,697939.00
2016-11-15,726111.00
2016-11-16,734614.00
2016-11-17,724343.00
2016-11-18,721307.00
2016-11-19,647873.00
2016-11-20,591462.00
2016-11-21,717432.00
2016-11-22,745177.00
2016-11-23,751441.00
2016-11-24,750821.00
2016-11-25,747966.00
2016-11-26,671493.00
2016-11-27,622407.00
2016-11-28,740366.00
2016-11-29,745424.00
2016-11-30,745393.00
2016-12-01,749820.00
2016-12-02,714764.00
2016-12-03,677089.00
2016-12-04,706098.00
2016-12-05,679611.00
2016-12-06,579462.00
2016-12-07,776921.00
2016-12-08,682708.00
2016-12-09,749616.00
2016-12-10,567311.00
2016-12-11,638500.00
2016-12-12,733377.00
2016-12-13,765443.00
2016-12-14,765725.00
2016-12-15,769590.00
2016-12-16,768220.00
2016-12-17,679312.00
2016-12-18,639862.00
2016-12-19,764387.00
2016-12-20,778697.00
2016-12-21,766600.00
2016-12-22,751587.00
2016-12-23,725516.00
2016-12-24,623402.00
2016-12-25,546547.00
2016-12-26,609677.00
2016-12-27,672029.00
2016-12-28,683275.00
2016-12-29,687066.00
2016-12-30,688173.00
2016-12-31,622823.00
2017-01-01,572119.00
2017-01-02,758734.00
2017-01-03,723455.00
2017-01-04,616344.00
2017-01-05,516970.00
2017-01-06,705309.00
2017-01-07,627281.00
2017-01-08,746655.00
2017-01-09,703149.00
2017-01-10,565896.00
2017-01-11,577347.00
2017-01-12,797066.00
2017-01-13,772723.00
2017-01-14,702245.00
2017-01-15,659843.00
2017-01-16,783814.00
2017-01-17,814698.00
2017-01-18,828883.00
2017-01-19,838715.00
2017-01-20,839822.00
2017-01-21,736928.00
2017-01-22,670194.00
2017-01-23,795106.00
2017-01-24,812622.00
2017-01-25,810771.00
2017-01-26,811907.00
2017-01-27,801735.00
2017-01-28,713121.00
2017-01-29,655046.00
2017-01-30,762561.00
2017-01-31,771318.00
2017-02-01,683558.00
2017-02-02,757617.00
2017-02-03,725500.00
2017-02-04,568290.00
2017-02-05,645520.00
2017-02-06,703674.00
2017-02-07,580341.00
2017-02-08,760409.00
2017-02-09,631614.00
2017-02-10,687731.00
2017-02-11,677537.00
2017-02-12,722559.00
2017-02-13,744843.00
2017-02-14,750857.00
2017-02-15,745746.00
2017-02-16,737077.00
2017-02-17,732533.00
2017-02-18,661494.00
2017-02-19,621708.00
2017-02-20,732030.00
2017-02-21,735490.00
2017-02-22,727655.00
2017-02-23,728171.00
2017-02-24,728048.00
2017-02-25,650634.00
2017-02-26,603484.00
2017-02-27,701821.00
2017-02-28,697508.00
2017-03-01,756331.00
2017-03-02,750721.00
2017-03-03,717755.00
2017-03-04,682317.00
2017-03-05,677802.00
2017-03-06,633973.00
2017-03-07,706054.00
2017-03-08,776738.00
2017-03-09,589531.00
2017-03-10,709196.00
2017-03-11,683274.00
2017-03-12,672110.00
2017-03-13,684715.00
2017-03-14,704625.00
2017-03-15,704758.00
2017-03-16,696619.00
2017-03-17,692157.00
2017-03-18,620878.00
2017-03-19,567356.00
2017-03-20,649539.00
2017-03-21,690308.00
2017-03-22,694417.00
2017-03-23,720969.00
2017-03-24,731189.00
2017-03-25,658606.00
2017-03-26,574993.00
2017-03-27,705104.00
2017-03-28,717473.00
2017-03-29,697375.00
2017-03-30,695088.00
2017-03-31,681513.00
2017-04-01,746703.00
2017-04-02,670632.00
2017-04-03,669127.00
2017-04-04,686678.00
2017-04-05,676187.00
2017-04-06,567721.00
2017-04-07,736779.00
2017-04-08,784200.00
2017-04-09,713342.00
2017-04-10,697436.00
2017-04-11,609436.00
2017-04-12,802380.00
2017-04-13,567920.00
2017-04-14,521383.00
2017-04-15,545933.00
2017-04-16,525133.00
2017-04-17,577005.00
2017-04-18,647100.00
2017-04-19,666253.00
2017-04-20,675686.00
2017-04-21,671464.00
2017-04-22,604506.00
2017-04-23,555257.00
2017-04-24,643320.00
2017-04-25,670728.00
2017-04-26,681322.00
2017-04-27,679502.00
2017-04-28,695828.00
2017-04-29,620894.00
2017-04-30,566856.00
2017-05-01,717934.00
2017-05-02,624034.00
2017-05-03,612443.00
2017-05-04,687987.00
2017-05-05,667177.00
2017-05-06,670929.00
2017-05-07,745673.00
2017-05-08,717830.00
2017-05-09,724023.00
2017-05-10,711216.00
2017-05-11,565418.00
2017-05-12,806667.00
2017-05-13,604247.00
2017-05-14,552639.00
2017-05-15,652705.00
2017-05-16,687866.00
2017-05-17,683334.00
2017-05-18,677266.00
2017-05-19,665457.00
2017-05-20,600376.00
2017-05-21,557207.00
2017-05-22,670675.00
2017-05-23,690404.00
2017-05-24,703355.00
2017-05-25,715597.00
2017-05-26,711028.00
2017-05-27,637663.00
2017-05-28,578334.00
2017-05-29,679164.00
2017-05-30,685312.00
2017-05-31,688671.00
2017-06-01,602376.00
2017-06-02,738808.00
2017-06-03,711639.00
2017-06-04,682252.00
2017-06-05,601249.00
2017-06-06,691824.00
2017-06-07,741432.00
2017-06-08,641882.00
2017-06-09,744673.00
2017-06-10,704995.00
2017-06-11,685574.00
2017-06-12,703637.00
2017-06-13,764458.00
2017-06-14,780101.00
2017-06-15,774797.00
2017-06-16,792122.00
2017-06-17,721735.00
2017-06-18,679031.00
2017-06-19,807946.00
2017-06-20,812170.00
2017-06-21,817636.00
2017-06-22,810208.00
2017-06-23,796579.00
2017-06-24,702696.00
2017-06-25,650343.00
2017-06-26,763452.00
2017-06-27,768104.00
2017-06-28,750576.00
2017-06-29,718391.00
2017-06-30,690603.00
2017-07-01,644177.00
2017-07-02,757726.00
2017-07-03,710637.00
2017-07-04,675795.00
2017-07-05,552763.00
2017-07-06,700473.00
2017-07-07,727391.00
2017-07-08,738187.00
2017-07-09,740125.00
2017-07-10,622708.00
2017-07-11,703144.00
2017-07-12,750487.00
2017-07-13,797497.00
2017-07-14,803999.00
2017-07-15,719582.00
2017-07-16,659234.00
2017-07-17,779108.00
2017-07-18,808216.00
2017-07-19,803173.00
2017-07-20,779263.00
2017-07-21,763666.00
2017-07-22,680064.00
2017-07-23,624925.00
2017-07-24,730950.00
2017-07-25,718642.00
2017-07-26,749430.00
2017-07-27,772112.00
2017-07-28,782713.00
2017-07-29,708603.00
2017-07-30,646944.00
2017-07-31,746406.00
2017-08-01,646343.00
2017-08-02,755909.00
2017-08-03,704409.00
2017-08-04,607222.00
2017-08-05,662604.00
2017-08-06,714936.00
2017-08-07,653181.00
